frame,time_sec,student_name,behavior,confidence,duration_sec
15,0.5,Haider,looking_board,0.82,0.5
15,0.5,Hashim,looking_board,0.752,0.5
15,0.5,Hassan,reading,0.743,0.5
15,0.5,Asrar,writing,0.524,0.5
15,0.5,Yasir,mobile_use,0.451,0.5
16,0.53,Haider,looking_board,0.796,0.5
16,0.53,Hashim,looking_board,0.784,0.5
16,0.53,Hassan,reading,0.727,0.5
16,0.53,Asrar,writing,0.515,0.5
16,0.53,Yasir,mobile_use,0.257,0.5
17,0.57,Haider,looking_board,0.813,0.6
17,0.57,Hashim,looking_board,0.784,0.6
17,0.57,Hassan,reading,0.661,0.6
17,0.57,Asrar,writing,0.574,0.6
17,0.57,Hassan,reading,0.295,0.6
17,0.57,Yasir,mobile_use,0.266,0.6
17,0.57,Hashim,looking_board,0.254,0.6
18,0.6,Haider,looking_board,0.819,0.6
18,0.6,Hashim,looking_board,0.805,0.6
18,0.6,Hassan,reading,0.607,0.6
18,0.6,Asrar,writing,0.507,0.6
18,0.6,Yasir,looking_board,0.41,0.5
18,0.6,Hashim,looking_board,0.334,0.6
18,0.6,Hassan,reading,0.289,0.6
18,0.6,Yasir,mobile_use,0.25,0.6
19,0.63,Haider,looking_board,0.82,0.6
19,0.63,Hashim,looking_board,0.81,0.6
19,0.63,Hassan,reading,0.598,0.6
19,0.63,Asrar,writing,0.479,0.6
19,0.63,Yasir,looking_board,0.386,0.5
19,0.63,Hashim,looking_board,0.366,0.6
19,0.63,Hassan,reading,0.351,0.6
19,0.63,Yasir,mobile_use,0.263,0.6
20,0.67,Haider,looking_board,0.843,0.7
20,0.67,Hashim,looking_board,0.825,0.7
20,0.67,Asrar,writing,0.578,0.7
20,0.67,Hassan,reading,0.561,0.7
20,0.67,Hashim,looking_board,0.373,0.7
20,0.67,Yasir,looking_board,0.37,0.6
20,0.67,Hassan,reading,0.303,0.7
21,0.7,Haider,looking_board,0.858,0.7
21,0.7,Hashim,looking_board,0.84,0.7
21,0.7,Asrar,writing,0.485,0.7
21,0.7,Hassan,reading,0.464,0.7
21,0.7,Yasir,looking_board,0.401,0.6
21,0.7,Hashim,looking_board,0.343,0.7
22,0.73,Haider,looking_board,0.866,0.7
22,0.73,Hashim,looking_board,0.859,0.7
22,0.73,Hassan,reading,0.462,0.7
22,0.73,Asrar,writing,0.439,0.7
22,0.73,Hashim,looking_board,0.337,0.7
22,0.73,Yasir,looking_board,0.33,0.6
22,0.73,Yasir,looking_board,0.306,0.6
22,0.73,Hassan,reading,0.3,0.7
23,0.77,Hashim,looking_board,0.868,0.8
23,0.77,Haider,looking_board,0.857,0.8
23,0.77,Hassan,reading,0.485,0.8
23,0.77,Asrar,writing,0.432,0.8
23,0.77,Hashim,looking_board,0.32,0.8
23,0.77,Yasir,looking_board,0.319,0.7
23,0.77,Muneeb,looking_away,0.282,0.8
23,0.77,Hassan,reading,0.269,0.8
23,0.77,Yasir,looking_board,0.252,0.7
24,0.8,Haider,looking_board,0.826,0.8
24,0.8,Hashim,looking_board,0.512,0.8
24,0.8,Hassan,reading,0.442,0.8
24,0.8,Asrar,writing,0.355,0.8
24,0.8,Hassan,reading,0.327,0.8
24,0.8,Muneeb,looking_away,0.316,0.8
25,0.83,Haider,looking_board,0.816,0.8
25,0.83,Hassan,reading,0.487,0.8
25,0.83,Muneeb,looking_away,0.412,0.8
25,0.83,Hassan,reading,0.408,0.8
25,0.83,Asrar,writing,0.355,0.8
25,0.83,Hashim,looking_board,0.268,0.8
25,0.83,Yasir,looking_board,0.261,0.7
26,0.87,Haider,looking_board,0.819,0.9
26,0.87,Hashim,looking_board,0.553,0.9
26,0.87,Muneeb,looking_away,0.536,0.9
26,0.87,Hassan,reading,0.525,0.9
26,0.87,Hassan,reading,0.479,0.9
26,0.87,Hashim,looking_board,0.346,0.9
26,0.87,Yasir,looking_board,0.312,0.8
26,0.87,Yasir,looking_board,0.288,0.8
26,0.87,Asrar,writing,0.268,0.9
27,0.9,Haider,looking_board,0.828,0.9
27,0.9,Hashim,looking_board,0.575,0.9
27,0.9,Hassan,reading,0.561,0.9
27,0.9,Hassan,reading,0.509,0.9
27,0.9,Muneeb,looking_away,0.413,0.9
27,0.9,Asrar,writing,0.4,0.9
27,0.9,Yasir,looking_board,0.374,0.8
27,0.9,Yasir,looking_board,0.338,0.8
28,0.93,Haider,looking_board,0.776,0.9
28,0.93,Hassan,reading,0.703,0.9
28,0.93,Hassan,reading,0.523,0.9
28,0.93,Hashim,looking_board,0.492,0.9
28,0.93,Asrar,writing,0.46,0.9
28,0.93,Yasir,looking_board,0.376,0.8
28,0.93,Muneeb,looking_away,0.363,0.9
28,0.93,Yasir,looking_board,0.252,0.8
29,0.97,Haider,looking_board,0.775,1.0
29,0.97,Hassan,reading,0.727,1.0
29,0.97,Asrar,writing,0.527,1.0
29,0.97,Hashim,looking_board,0.497,1.0
29,0.97,Hassan,reading,0.461,1.0
29,0.97,Yasir,looking_board,0.412,0.9
29,0.97,Yasir,looking_board,0.251,0.9
30,1.0,Haider,looking_board,0.801,1.0
30,1.0,Hassan,reading,0.682,1.0
30,1.0,Asrar,writing,0.546,1.0
30,1.0,Hashim,looking_board,0.508,1.0
30,1.0,Hassan,reading,0.436,1.0
30,1.0,Yasir,looking_board,0.432,0.9
30,1.0,Hashim,looking_board,0.255,1.0
31,1.03,Haider,looking_board,0.838,1.0
31,1.03,Hassan,reading,0.681,1.0
31,1.03,Asrar,writing,0.64,1.0
31,1.03,Yasir,looking_board,0.499,0.9
31,1.03,Hassan,reading,0.424,1.0
31,1.03,Hashim,looking_board,0.398,1.0
31,1.03,Yasir,looking_board,0.255,0.9
32,1.07,Haider,looking_board,0.861,1.1
32,1.07,Asrar,writing,0.655,1.1
